"ID","Screen","Current route / coverage","Sections and completion work","Wave"
"PUBLIC-01","Marketing Home","`/` → intake; M","Value proposition, service fit, coordinated strategy benefit, credible process visual, trust, primary start CTA; real brand composition.","A11"
"PUBLIC-02","Services / How it works","Missing; M","Service deliverables and boundaries, client/consultant roles, lifecycle and ongoing support; contextual CTA.","A11"
"PUBLIC-03","Pricing / Service selection","Authenticated services only; M","Public product/pricing summary backed by configured catalog, credit/entitlement explanation, purchase prerequisites and next step.","A9, A11"
"PUBLIC-04","FAQ / Disclosures / Trust","Missing; M","Searchable/scannable questions, data/privacy/support, reviewed agreements and disclosures, contact/recovery paths; no invented social proof.","A11"
"PUBLIC-05","Goal-first intake","`/goal-intake`; B","Brand/value context, single desired amount, scope/preferences, current situation, contact, review/confirm, resumable handoff; replace target-centric slider framing.","A1, A4, A11"
"AUTH-01","Register","`/register`; S","Identity/contact, password guidance, linked agreement versions, consent, intake continuity, duplicate/verification/retry states.","A3, A11"
"AUTH-02","Login","`/login`; B","Recognizable brand, sign-in, safe return path, clear error/recovery, no raw fetch error; responsive form.","A1, A3"
"AUTH-03","Email verification","`/verify-email`; S","Deliverable email/link, verified/expired/invalid/used states, safe resend and continuation; prove actual transport.","A3"
"AUTH-04","Forgot / reset password","`/forgot-password`, `/reset-password`; S","Real mail, expiry/single use, password validation, session revocation and retry; recovery must work outside a signed-in session.","A3, A12"
"AUTH-05","Staff MFA / step-up","`/mfa`; B consultant only","Enrollment/challenge, recovery codes and governed recovery, expired step-up preserving draft; Admin runtime coverage still open.","A3, A10, A12"
"AUTH-06","Account / security sessions","Role-specific account/security; B client","Device identity/time, current session, revoke other/session, reset, session expiry; staff recovery proof.","A10, A12"
"PORTAL-01","Home / Current focus","`/app`; B","One factual next action, owner and blocker; concise goal progress, Profile freshness, actual active Plan items, live/appointment context and service entry. F04/F05/F08/F09.","A1, A2"
"PORTAL-02","Journey","`/app/journey`; B","Lifetime timeline, current season, active Nurture, completed cycles and openable history; replace four record-existence milestones.","A2, A9"
"PORTAL-03","Goal confirmation","`/app/goals`; B","Desired amount and amount reached with scope; one primary goal, preferences, revision preview and material-change effect; preserve cycle snapshots.","A2, A4"
