"route","component","App.tsx line"
"/","Navigate","110"
"/login","LoginPage","111"
"/mfa","StaffMfaPage","112"
"/register","RegisterPage","113"
"/goal-intake","GoalIntakePage","114"
"/verify-email","VerifyEmailPage","115"
"/lead-wizard","Navigate","116"
"/forgot-password","ForgotPasswordPage","117"
"/reset-password","ResetPasswordPage","118"
"/dev/design-system","Suspense","120"
"/dev/shell/:role","Suspense","130"
"/app","ClientAppShell","141"
"/app","ClientHomePage","142"
"/app/journey","ClientJourneyPage","143"
"/app/plan","ClientPlanPage","144"
"/app/credit-center","PublishedCreditCenterPage","145"
"/app/credit-center/profile","PublishedCreditCenterPage","146"
"/app/credit-center/report","PublishedCreditCenterPage","150"
"/app/credit-center/analysis","PublishedCreditCenterPage","154"
"/app/credit-center/history","PublishedCreditCenterPage","158"
"/app/credit-center/review","ClientReviewPage","162"
"/app/readiness","ReadinessPage","163"
"/app/cards","CardsPage","164"
"/app/cards/explore","ExploreCardsPage","165"
"/app/cards/wishlist","CardWishlistPage","166"
"/app/cards/:productId","CardDetailPage","167"
"/app/application-rounds","SeasonalCyclePage","168"
"/app/rounds/:roundId","RoundPage","169"
"/app/rounds/:roundId/major-check","MajorApplicationCheckPage","170"
"/app/rounds/:roundId/strategy","ClientStrategyPage","171"
"/app/rounds/:roundId/schedule","ScheduleRoundPage","172"
"/app/rounds/:roundId/live","LiveSessionPage","173"
"/app/rounds/:roundId/results","PostRoundPage","174"
"/app/rounds/:roundId/follow-up","PostRoundFollowUpPage","175"
"/app/rounds/:roundId/analysis","RoundAnalysisPage","176"
"/app/major-readiness","MajorReadinessPage","177"
"/app/major-readiness/readiness","MajorReadinessPage","178"
"/app/major-readiness/preparation","MajorReadinessPage","182"
"/app/major-readiness/coordination","MajorReadinessPage","186"
"/app/major-readiness/timeline","MajorReadinessPage","190"
"/app/goals","GoalsPage","191"
"/app/services","ServicesPage","192"
"/app/services/active","ActiveServicesPage","193"
"/app/services/history","PurchaseHistoryPage","194"
"/app/checkout/:purchaseIntentId","CheckoutPage","195"
"/app/documents","DocumentsPage","196"
"/app/notifications","NotificationsPage","197"
"/app/support","SupportPage","198"
"/app/account","AccountPage","199"
"/app/account/security","SecurityPage","200"
"/app/*","FoundationPage","201"
"/crm","ConsultantAppShell","214"
"/crm","ConsultantDashboardPage","215"
"/crm/work-queue","WorkQueuePage","216"
"/crm/clients","ClientsPage","217"
"/crm/clients/:clientId","Client360Page","218"
"/crm/clients/:clientId/plan","ConsultantPlanBuilderPage","219"
"/crm/clients/:clientId/cards","ConsultantClientCardsPage","220"
"/crm/clients/:clientId/rounds/:roundId/strategy","ConsultantStrategyPage","221"
"/crm/clients/:clientId/rounds/:roundId/results","PostRoundPage","225"
"/crm/clients/:clientId/rounds/:roundId/analysis","RoundAnalysisPage","229"
"/crm/clients/:clientId/rounds/:roundId/finalize","RoundFinalizationPage","233"
"/crm/clients/:clientId/major-readiness/:caseId","ConsultantMajorReadinessPage","237"
"/crm/clients/:clientId/credit-center","ConsultantClientCreditCenterPage","241"
"/crm/clients/:clientId/reviews/:reviewId","ConsultantReviewWorkspacePage","245"
"/crm/reviews","ConsultantReviewsPage","249"
"/crm/card-catalog","ExploreCardsPage","250"
"/crm/card-insights","InsightOperationsPage","251"
"/crm/reviews/:clientId/:reviewId","ConsultantReviewWorkspacePage","252"
"/crm/readiness","ReadinessPage","253"
"/crm/support","ConsultantSupportPage","254"
"/crm/sessions","LiveSessionsPage","255"
"/crm/live-sessions","LiveSessionsPage","256"
"/crm/live-sessions/:sessionId","LiveSessionPage","257"
"/crm/calendar","ConsultantCalendarPage","258"
"/crm/clients/:clientId/appointments/:appointmentId","AppointmentDetailPage","259"
"/crm/account","StaffAccountPage","263"
"/crm/account/security","SecurityPage","264"
"/crm/*","FoundationPage","265"
"/admin","AdminAppShell","278"
"/admin/card-catalog","CatalogOperationsPage","279"
"/admin/card-insights","InsightOperationsPage","280"
"/admin","AdminLandingPage","281"
"/admin/users","AdminUsersPage","282"
"/admin/users/:userId","AdminUserDetailPage","283"
"/admin/access-grants","AdminAccessGrantsPage","284"
"/admin/audit-events","AdminEventListPage","285"
"/admin/audit-events/:eventId","AdminEventDetailPage","286"
"/admin/security-events","AdminEventListPage","287"
"/admin/security-events/:eventId","AdminEventDetailPage","288"
"/admin/ai/jobs","AdminAIJobsPage","292"
"/admin/ai/jobs/:jobId","AdminAIJobDetailPage","293"
"/admin/ai/processes","AdminAIProcessesPage","294"
"/admin/sources","AdminSourcesPage","295"
"/admin/workflow-rules","AdminWorkflowPage","296"
"/admin/notification-operations","AdminNotificationsPage","297"
"/admin/integrations","AdminIntegrationsPage","298"
"/admin/scheduled-jobs","AdminScheduledJobsPage","299"
"/admin/system-health","SystemHealthPage","300"
"/admin/retention","AdminRetentionPage","301"
"/admin/reports","AdminReportsPage","302"
"/admin/settings","AdminSettingsPage","303"
"/admin/services","AdminServicesPage","304"
"/admin/services/:serviceProductId","AdminServiceDetailPage","305"
"/admin/payments","AdminPaymentsPage","306"
"/admin/payments/:paymentId","AdminPaymentDetailPage","307"
"/admin/integrations/paypal","AdminPayPalPage","308"
"/admin/integrations/stripe","AdminStripePage","309"
"/admin/integrations/bofa","AdminBofaPage","310"
"/admin/account","StaffAccountPage","311"
"/admin/account/security","SecurityPage","312"
"/admin/*","FoundationPage","313"
"/client","Navigate","325"
"/client/overview","Navigate","326"
"/client/credit-profile","Navigate","327"
"/client/account","Navigate","328"
"/consultant","Navigate","329"
"/consultant/dashboard","Navigate","330"
"/consultant/account","Navigate","331"
"/*","Navigate","332"
